Region 2018,Catchment Name,LAWA Catchment Identifier,Detailed Category,Area 1996 (ha),Area 2001 (ha),Area 2008 (ha),Area 2012 (ha),Area 2018 (ha),Area as % of Catchment Area 1996 (%),Area as % of Catchment Area 2001 (%),Area as % of Catchment Area 2008 (%),Area as % of Catchment Area 2012 (%),Area as % of Catchment Area 2018 (%),Area change: 2018 area minus 1996 area (ha),Area change as a % of 1996 area (%),Created
Auckland Region,Anns Creek,1003115,Catchment Area,113.7,113.7,113.7,113.7,113.7,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Anns Creek,1003115,Built-up Area (settlement),73.2,75.2,75.2,75.2,75.2,64.3,66.1,66.1,66.1,66.1,2.1,2.8,08/26/2025 16:12:47
Auckland Region,Anns Creek,1003115,Urban Parkland/Open Space,36.0,33.9,31.7,29.3,29.3,31.6,29.8,27.9,25.8,25.8,-6.7,-18.6,08/26/2025 16:12:47
Auckland Region,Anns Creek,1003115,Broadleaved Indigenous Hardwoods,4.3,4.3,6.6,8.9,8.9,3.8,3.8,5.8,7.9,7.9,4.6,106.4,08/26/2025 16:12:47
Auckland Region,Anns Creek,1003115,Mangrove,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Catchment Area,2611.0,2611.0,2611.0,2611.0,2611.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,High Producing Exotic Grassland,1118.1,1061.8,1052.0,1052.8,1052.8,42.8,40.7,40.3,40.3,40.3,-65.3,-5.8,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Indigenous Forest,615.4,615.4,615.4,615.4,614.3,23.6,23.6,23.6,23.6,23.5,-1.1,-0.2,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Exotic Forest,556.4,574.8,584.2,583.4,576.7,21.3,22.0,22.4,22.3,22.1,20.3,3.6,08/26/2025 16:12:47
Auckland Region,Aroaro Stream,1004013,Manuka and/or Kanuka,168.2,198.6,198.6,200.5,198.0,6.4,7.6,7.6,7.7,7.6,29.8,17.7,08/26/2025 16:12:47
